id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
1931,CYUY,medium_airport,Rouyn Noranda Airport,48.20610046,-78.83560181,988,,Canada,CA,Quebec,CA-QC,QC,Rouyn-Noranda,1,CYUY,CYUY,YUY,,,https://en.wikipedia.org/wiki/Rouyn-Noranda_Airport,,750,2008-06-13T14:30:04+00:00
1827,CYNJ,medium_airport,Langley Airport,49.1008,-122.630997,34,,Canada,CA,British Columbia,CA-BC,BC,Langley,0,CYNJ,CYNJ,YLY,,,https://en.wikipedia.org/wiki/Langley_Regional_Airport,YNJ,500,2024-04-10T19:21:04+00:00
1673,CYBG,large_airport,Saguenay-Bagotville Airport,48.330123,-70.992012,522,,Canada,CA,Quebec,CA-QC,QC,Saguenay,1,CYBG,CYBG,YBG,,,https://en.wikipedia.org/wiki/CFB_Bagotville,Bagotville Airport,1000,2026-01-08T15:34:12+00:00
1859,CYPW,medium_airport,Powell River Airport,49.83420181,-124.5,425,,Canada,CA,British Columbia,CA-BC,BC,Powell River,1,CYPW,CYPW,YPW,,,https://en.wikipedia.org/wiki/Powell_River_Airport,,750,2008-06-13T14:30:04+00:00
1868,CYQH,medium_airport,Watson Lake Airport,60.116839,-128.821993,2255,,Canada,CA,Yukon,CA-YT,YT,Watson Lake,1,CYQH,CYQH,YQH,,,https://en.wikipedia.org/wiki/Watson_Lake_Airport,,500,2024-04-04T14:11:27+00:00
28453,CYHC,seaplane_base,Vancouver Harbour Water Aerodrome,49.291265,-123.11717,,,Canada,CA,British Columbia,CA-BC,BC,Vancouver,1,CYHC,CYHC,CXH,,,https://en.wikipedia.org/wiki/Vancouver_Harbour_Water_Aerodrome,Vancouver Coal Harbour Seaplane Base,325,2025-09-19T16:18:49+00:00
1758,CYHE,small_airport,Hope Airport / FVRD Regional Airpark,49.368865,-121.49495,128,,Canada,CA,British Columbia,CA-BC,BC,Hope,0,CYHE,CYHE,YHE,,,https://en.wikipedia.org/wiki/Hope_Aerodrome,YHE,150,2024-04-03T22:57:23+00:00
1328,CNP3,small_airport,Arnprior Airport,45.41360092,-76.36579895,358,,Canada,CA,Ontario,CA-ON,ON,Arnprior,0,CNP3,,,CNP3,http://www.townarnprior.on.ca/airport.htm,https://en.wikipedia.org/wiki/Arnprior/South_Renfrew_Municipal_Airport,"NP3,South Renfrew Municipal",50,2008-07-13T21:58:16+00:00
1984,CYYQ,medium_airport,Churchill Airport,58.73920059,-94.06500244,94,,Canada,CA,Manitoba,CA-MB,MB,Churchill,1,CYYQ,CYYQ,YYQ,,,https://en.wikipedia.org/wiki/Churchill_Airport,,750,2008-06-13T14:30:04+00:00
1353,CNV8,small_airport,Edenvale Aerodrome,44.441101,-79.962799,718,,Canada,CA,Ontario,CA-ON,ON,Edenvale,0,CNV8,,,CNV8,http://www.edenflight.com/,https://en.wikipedia.org/wiki/Edenvale_Airport,NV8,50,2016-09-07T00:12:33+00:00
1999,CYZT,medium_airport,Port Hardy Airport,50.68059921,-127.3669968,71,,Canada,CA,British Columbia,CA-BC,BC,Port Hardy,1,CYZT,CYZT,YZT,,,https://en.wikipedia.org/wiki/Port_Hardy_Airport,,750,2008-06-13T14:30:04+00:00
1340,CYKM,medium_airport,Kincardine Municipal Airport,44.201401,-81.606697,772,,Canada,CA,Ontario,CA-ON,ON,Kincardine,0,CYKM,CYKM,YKD,CYKM,http://www.kincardineairport.com/,https://en.wikipedia.org/wiki/Kincardine_Airport,"NS7, CNS7",250,2024-05-06T11:58:36+00:00
1780,CYJN,medium_airport,St Jean Airport,45.29439926,-73.28109741,136,,Canada,CA,Quebec,CA-QC,QC,St Jean,0,CYJN,CYJN,YJN,,,https://en.wikipedia.org/wiki/St-Jean_Airport,,250,2008-06-13T14:30:04+00:00
1349,CNU8,small_airport,Toronto Markham Airport,43.93526,-79.263491,807,,Canada,CA,Ontario,CA-ON,ON,Markham,0,CNU8,,,CNU8,,https://en.wikipedia.org/wiki/Toronto/Markham_Airport,NU8,50,2024-07-12T01:44:39+00:00
634,CAP3,small_airport,Sechelt-Gibsons Airport,49.46060181,-123.7190018,340,,Canada,CA,British Columbia,CA-BC,BC,Sechelt,0,CAP3,,YHS,CAP3,,https://en.wikipedia.org/wiki/Sechelt-Gibsons_Airport,"AP3, Sechelt Aerodrome, Sunshine Coast Airfield",50,2015-03-07T11:21:42+00:00
1330,CNP8,small_airport,Greenbank-Uxbridge-Port Perry Airfield,44.133697,-79.013028,975,,Canada,CA,Ontario,CA-ON,ON,Uxbridge,0,CNP8,,,CNP8,,https://en.wikipedia.org/wiki/Greenbank_Airport,NP8,50,2025-11-25T08:26:01+00:00
1783,CYJT,large_airport,Stephenville Dymond International Airport,48.54339,-58.552892,84,,Canada,CA,Newfoundland and Labrador,CA-NL,NL,Stephenville,1,CYJT,CYJT,YJT,,https://cyjt.com/,https://en.wikipedia.org/wiki/Stephenville_Airport,Ernest Harmon AFB,1000,2026-01-08T15:37:50+00:00
1803,CYLL,medium_airport,Lloydminster Airport,53.3092,-110.072998,2193,,Canada,CA,Alberta,CA-AB,AB,Lloydminster,1,CYLL,CYLL,YLL,,,https://en.wikipedia.org/wiki/Lloydminster_Airport,,750,2024-07-12T08:29:06+00:00
1920,CYTH,medium_airport,Thompson Airport,55.80110168,-97.86419678,729,,Canada,CA,Manitoba,CA-MB,MB,Thompson,1,CYTH,CYTH,YTH,,,https://en.wikipedia.org/wiki/Thompson_Airport,,750,2008-06-13T14:30:04+00:00
1938,CYVO,medium_airport,Val-d'Or Airport,48.05329895,-77.78279877,1107,,Canada,CA,Quebec,CA-QC,QC,Val-d'Or,1,CYVO,CYVO,YVO,,http://www.arvo.qc.ca/,https://en.wikipedia.org/wiki/Val-d'Or_Airport,,750,2010-03-22T11:52:52+00:00
643,CAT4,medium_airport,Qualicum Beach Airport,49.337456,-124.393086,191,,Canada,CA,British Columbia,CA-BC,BC,Qualicum Beach,1,CAT4,,XQU,CAT4,http://www.qualicumbeach.com/cms.asp?wpID=437,https://en.wikipedia.org/wiki/Qualicum_Beach_Airport,AT4,500,2024-04-03T20:29:08+00:00
